Experiment,Channel,Section,Treatment,Status,Body_Mass,Growth_Rate_SGRW_Before_Release,Growth_Rate_SGRW_After_Release
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,9.18,2.293343013,1.692170789
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,12.87,1.330712322,2.289401166
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,7.45,2.16347944,1.155888604
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,13.12,1.909329073,2.333125625
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,6.56,0.96199646,0.923244531
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,20.65,1.99804464,2.990274588
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,9.04,1.255680839,1.550331749
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,9.15,2.068199151,1.679524705
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,8.84,2.057747899,1.740599655
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,3.86,1.210338648,0.34936135
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,14.45,2.015748696,2.288109811
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,7.74,1.348634456,1.4608152
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,8.73,1.786879686,1.79663942
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,9.5,1.601416295,2.05276966
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,14.09,1.745390496,2.200838102
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,11.93,2.631860667,1.743322126
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,13.02,2.580464739,2.184219877
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,4.14,0.506231178,1.345781751
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,11.18,1.816782185,1.797240114
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,21.28,1.490567327,3.551406587
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,13.59,2.617310727,1.907908169
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,12.33,1.843502941,2.001899802
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,5.01,1.142444764,1.266190648
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,5.11,1.269273983,1.606682961
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,5.14,1.020884538,0.686481847
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,11.92,1.168555833,2.229157393
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,8.48,1.32660471,1.788734696
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,6.82,1.097389699,1.477497561
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,5.65,1.674165673,1.121093896
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,6.86,1.237472328,1.115052083
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,4.35,-0.717957134,1.169691818
Exp_1_Experimental_Streams,B,10,Sham,Recaptured,4.62,2.142257,0.834645217
Exp_1_Experimental_Streams,B,10,no tag,Recaptured,6.68,NA,NA
Exp_1_Experimental_Streams,A,1,Sham,Not_Recaptured_in_releasing_Section,NA,2.021970449,NA
Exp_1_Experimental_Streams,A,1,Sham,Not_Recaptured_in_releasing_Section,NA,1.90415813,NA
Exp_1_Experimental_Streams,A,1,Sham,Not_Recaptured_in_releasing_Section,NA,3.135220234,NA
Exp_1_Experimental_Streams,A,1,Sham,Not_Recaptured_in_releasing_Section,NA,2.28382933,NA
Exp_1_Experimental_Streams,A,1,Sham,Not_Recaptured_in_releasing_Section,NA,2.210964782,NA
Exp_1_Experimental_Streams,A,4,GH,Not_Recaptured_in_releasing_Section,NA,2.994796894,NA
Exp_1_Experimental_Streams,A,4,GH,Not_Recaptured_in_releasing_Section,NA,2.401702765,NA
Exp_1_Experimental_Streams,A,4,GH,Not_Recaptured_in_releasing_Section,NA,2.331306323,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.348033932,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.656233451,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.707809715,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.751027365,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.945346252,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.568348062,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.911571861,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.73239921,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.495035663,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,1.233059451,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,1.61217236,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,1.030234616,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,1.428370447,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,1.325365007,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,1.267508711,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,1.270606934,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,0.605628051,NA
Exp_1_Experimental_Streams,A,4,GH,Not_Recaptured_in_releasing_Section,NA,4.251719416,NA
Exp_1_Experimental_Streams,A,4,GH,Not_Recaptured_in_releasing_Section,NA,1.985759111,NA
Exp_1_Experimental_Streams,A,4,GH,Not_Recaptured_in_releasing_Section,NA,2.880501598,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,1.868601339,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.481467992,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.360374794,NA
Exp_1_Experimental_Streams,B,7,GH,Not_Recaptured_in_releasing_Section,NA,2.147006319,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,2.18930437,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,1.584250142,NA
Exp_1_Experimental_Streams,B,10,Sham,Not_Recaptured_in_releasing_Section,NA,1.030234616,NA
Exp_1_Experimental_Streams,A,1,Sham,Not_Recaptured_in_releasing_Section,NA,1.375604022,NA
Exp_1_Experimental_Streams,A,1,Sham,Not_Recaptured_in_releasing_Section,NA,2.288512211,NA
Exp_1_Experimental_Streams,A,1,Sham,Not_Recaptured_in_releasing_Section,NA,1.432197663,NA
Exp_1_Experimental_Streams,A,1,Sham,Not_Recaptured_in_releasing_Section,NA,2.450703314,NA
